City,Country Code,Date,Time,Weather_Id,Weather,Temp Min (F),Temp Max (F),Feels Like (F),Temperature (F),Temp KF,Humidity (%),Wind Speed (mph),Wind Degree,Wind Gust,Pressure,Sea Level,Ground Level,Cloudiness,Visibility,Probability of percipitation 
Las Vegas,US,2024-03-15,03:00:00,804,overcast clouds,286.20,288.35,286.60,288.35,2.15,26.00,6.94,28,10.96,1009,1009,938,100,10000,0.02
Las Vegas,US,2024-03-15,06:00:00,804,overcast clouds,285.09,287.26,285.51,287.26,2.17,30.00,7.21,8,11.47,1009,1009,938,96,10000,0
Las Vegas,US,2024-03-15,09:00:00,804,overcast clouds,285.17,286.23,284.51,286.23,1.06,35.00,7.92,10,12.46,1008,1008,937,91,10000,0.03
Las Vegas,US,2024-03-15,12:00:00,500,light rain,283.91,283.91,282.29,283.91,0.00,48.00,7.89,4,11.14,1008,1008,937,94,10000,0.34
Las Vegas,US,2024-03-15,15:00:00,500,light rain,280.96,280.96,277.98,280.96,0.00,73.00,5.06,347,8.72,1010,1010,939,100,10000,0.93
Las Vegas,US,2024-03-15,18:00:00,500,light rain,281.82,281.82,280.55,281.82,0.00,71.00,2.30,317,4.99,1011,1011,940,100,10000,0.95
Las Vegas,US,2024-03-15,21:00:00,500,light rain,285.03,285.03,283.76,285.03,0.00,57.00,0.99,109,2.87,1011,1011,940,75,10000,0.71
Las Vegas,US,2024-03-16,00:00:00,500,light rain,286.24,286.24,284.91,286.24,0.00,50.00,1.06,337,1.86,1010,1010,940,72,10000,0.6
Las Vegas,US,2024-03-16,03:00:00,803,broken clouds,284.83,284.83,283.59,284.83,0.00,59.00,1.05,298,2.45,1011,1011,941,84,10000,0.25
Las Vegas,US,2024-03-16,06:00:00,500,light rain,284.10,284.10,282.92,284.10,0.00,64.00,2.37,311,3.17,1013,1013,942,92,10000,0.34
Las Vegas,US,2024-03-16,09:00:00,500,light rain,283.63,283.63,282.46,283.63,0.00,66.00,3.41,239,4.32,1013,1013,942,100,10000,0.33
Las Vegas,US,2024-03-16,12:00:00,500,light rain,282.28,282.28,280.64,282.28,0.00,75.00,2.97,107,3.48,1014,1014,943,100,10000,0.61
Las Vegas,US,2024-03-16,15:00:00,501,moderate rain,280.07,280.07,277.44,280.07,0.00,90.00,3.86,88,4.05,1018,1018,946,100,6508,0.91
Las Vegas,US,2024-03-16,18:00:00,500,light rain,280.36,280.36,279.62,280.36,0.00,84.00,1.50,67,2.31,1020,1020,948,100,10000,0.93
Las Vegas,US,2024-03-16,21:00:00,804,overcast clouds,281.71,281.71,281.71,281.71,0.00,77.00,0.43,292,1.01,1019,1019,947,100,10000,0.06
Las Vegas,US,2024-03-17,00:00:00,804,overcast clouds,284.55,284.55,283.31,284.55,0.00,60.00,0.80,231,1.83,1017,1017,946,98,10000,0.01
Las Vegas,US,2024-03-17,03:00:00,804,overcast clouds,284.07,284.07,282.84,284.07,0.00,62.00,1.16,193,1.48,1017,1017,946,95,10000,0
Las Vegas,US,2024-03-17,06:00:00,804,overcast clouds,284.40,284.40,283.17,284.40,0.00,61.00,1.15,263,1.78,1017,1017,946,97,10000,0
Las Vegas,US,2024-03-17,09:00:00,804,overcast clouds,283.91,283.91,282.63,283.91,0.00,61.00,0.95,275,1.52,1017,1017,946,98,10000,0
Las Vegas,US,2024-03-17,12:00:00,803,broken clouds,282.96,282.96,282.96,282.96,0.00,62.00,1.28,282,1.56,1016,1016,945,82,10000,0
Las Vegas,US,2024-03-17,15:00:00,804,overcast clouds,284.31,284.31,282.97,284.31,0.00,57.00,0.66,300,1.22,1018,1018,946,95,10000,0
Las Vegas,US,2024-03-17,18:00:00,804,overcast clouds,288.22,288.22,286.93,288.22,0.00,44.00,1.20,26,2.78,1017,1017,947,89,10000,0
Las Vegas,US,2024-03-17,21:00:00,804,overcast clouds,291.30,291.30,290.06,291.30,0.00,34.00,2.13,57,4.69,1015,1015,946,100,10000,0
Las Vegas,US,2024-03-18,00:00:00,803,broken clouds,292.47,292.47,291.21,292.47,0.00,29.00,2.29,69,4.65,1014,1014,945,84,10000,0
Las Vegas,US,2024-03-18,03:00:00,802,scattered clouds,290.11,290.11,288.91,290.11,0.00,40.00,1.65,66,1.95,1015,1015,945,25,10000,0
Las Vegas,US,2024-03-18,06:00:00,801,few clouds,289.01,289.01,287.75,289.01,0.00,42.00,1.77,337,2.12,1016,1016,946,20,10000,0
